epoch,step,train_loss,valid_acc,valid_loss
0,49,2.1839632987976074,,
0,99,1.9234809875488281,,
0,149,1.8680124282836914,,
0,199,1.7134358882904053,,
0,249,1.731567144393921,,
0,299,1.678743839263916,,
0,349,1.6709866523742676,,
0,399,1.6274704933166504,,
0,449,1.6008378267288208,,
0,499,1.6363327503204346,,
0,549,1.6219323873519897,,
0,599,1.5664616823196411,,
0,649,1.5237581729888916,,
0,699,1.5497856140136719,,
0,749,1.573883056640625,,
0,799,1.5493865013122559,,
0,849,1.5782420635223389,,
0,859,,0.9020000100135803,1.5723739862442017
1,899,1.5815532207489014,,
1,949,1.5550047159194946,,
1,999,1.521555781364441,,
1,1049,1.5903563499450684,,
1,1099,1.4964791536331177,,
1,1149,1.5748796463012695,,
1,1199,1.53630530834198,,
1,1249,1.517833948135376,,
1,1299,1.5151147842407227,,
1,1349,1.523054838180542,,
1,1399,1.5153734683990479,,
1,1449,1.5865230560302734,,
1,1499,1.5109713077545166,,
1,1549,1.6148053407669067,,
1,1599,1.563331127166748,,
1,1649,1.5940210819244385,,
1,1699,1.530889868736267,,
1,1719,,0.9179999828338623,1.5498460531234741
2,1749,1.5599946975708008,,
2,1799,1.5787720680236816,,
2,1849,1.5395368337631226,,
2,1899,1.557476282119751,,
2,1949,1.5450236797332764,,
2,1999,1.5640143156051636,,
2,2049,1.5419213771820068,,
2,2099,1.5877790451049805,,
2,2149,1.537522315979004,,
2,2199,1.5560721158981323,,
2,2249,1.5388665199279785,,
2,2299,1.5513874292373657,,
2,2349,1.5341260433197021,,
2,2399,1.5611661672592163,,
2,2449,1.5082637071609497,,
2,2499,1.5112595558166504,,
2,2549,1.5339832305908203,,
2,2579,,0.9264000058174133,1.5399024486541748
3,2599,1.521055817604065,,
3,2649,1.5038803815841675,,
3,2699,1.5746792554855347,,
3,2749,1.513289451599121,,
3,2799,1.5473921298980713,,
3,2849,1.521568775177002,,
3,2899,1.5205674171447754,,
3,2949,1.5180861949920654,,
3,2999,1.5231006145477295,,
3,3049,1.5132973194122314,,
3,3099,1.4817183017730713,,
3,3149,1.4704866409301758,,
3,3199,1.553807258605957,,
3,3249,1.5091837644577026,,
3,3299,1.5192073583602905,,
3,3349,1.5336692333221436,,
3,3399,1.5239367485046387,,
3,3439,,0.9296000003814697,1.5370372533798218
4,3449,1.5128486156463623,,
4,3499,1.5443190336227417,,
4,3549,1.561215877532959,,
4,3599,1.5268192291259766,,
4,3649,1.540826678276062,,
4,3699,1.5594632625579834,,
4,3749,1.5379468202590942,,
4,3799,1.5003845691680908,,
4,3849,1.5030109882354736,,
4,3899,1.5271344184875488,,
4,3949,1.5394203662872314,,
4,3999,1.533776044845581,,
4,4049,1.5280208587646484,,
4,4099,1.484323263168335,,
4,4149,1.4888420104980469,,
4,4199,1.4979617595672607,,
4,4249,1.5282249450683594,,
